tissue,species,f_water,f_lipids,f_proteins,f_pl,f_n_l,f_n_pl,f_a_pl,f_ew,f_iw,AR,LR,pH
Adipose,rat,0.715,0.855,0.06,0.002,0.853,0.0016,0.0004,0.135,0.017,0.049,0.068,7.1
Bone,rat,0.446,0.268,0.268,0.0027,0.0174,0.0016,0.00067,0.1,0.346,0.1,0.05,7
Brain,rat,0.774,0.09,0.08,0.0533,0.0391,0.0015,0.0004,0.162,0.62,0.048,0.041,7.1
Heart,rat,0.73,0.026,0.19,0.0118,0.0135,0.0106,0.00225,0.282,0.475,0.157,0.16,7.1
Kidney,rat,0.717,0.041,0.18,0.0284,0.0121,0.024,0.00503,0.273,0.483,0.13,0.137,7.22
Gut,rat,0.749,0.062,0.133,0.0138,0.0375,0.0124,0.00241,0.282,0.475,0.158,0.141,7.4
Liver,rat,0.583,0.044,0.21,0.0303,0.0135,0.0238,0.00456,0.161,0.573,0.086,0.161,7.23
Lung,rat,0.53,0.036,0.11,0.014,0.0215,0.0123,0.00391,0.336,0.446,0.212,0.168,6.6
Muscle,rat,0.75,0.019,0.19,0.009,0.01,0.0072,0.00153,0.118,0.63,0.064,0.059,6.81
Skin,rat,0.645,0.042,0.41,0.018,0.0603,0.0044,0.00132,0.382,0.291,0.277,0.096,7
Spleen,rat,0.52,0.021,0.23,0.0136,0.0077,0.0107,0.00318,0.207,0.579,0.097,0.207,7
RBCs,rat,0.662,0.005,0.33,NA,0.0017,0.0029,0.0005,NA,0.603,NA,NA,7.2
Plasma,rat,0.96,0.002,0.06,0.00083,0.02,0.001,0.00015,NA,NA,NA,NA,7.3
